Date,Days,Location,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct
12/14/20,2,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/20,2,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,NY,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,WI,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,GU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
